arm,seed,split,metric,value,n_instances,n_images,ci_low,ci_high,notes
real_only,1337,test,map,0.35673220731743893,3817,744,,,
real_only,1337,test,map_50,0.5754910359576368,3817,744,,,
real_only,1337,test,map_75,0.3985811878197068,3817,744,,,
real_only,1337,test,map_small,0.30089367459639366,2079,744,,,
real_only,1337,test,map_medium,0.43570168563943484,1583,744,,,
real_only,1337,test,map_large,0.46958212265522825,158,744,,,
real_only,1337,test,mar_1,0.11811530265352489,3817,744,,,
real_only,1337,test,mar_10,0.4897352381527682,3817,744,,,
real_only,1337,test,mar_100,0.6104487333084996,3817,744,,,
real_only,1337,test,mar_small,0.47299590929453633,2079,744,,,
real_only,1337,test,mar_medium,0.6488031073047542,1583,744,,,
real_only,1337,test,mar_large,0.7667593781200969,158,744,,,
real_only,1337,test,ap.helmet,0.5272079180944897,2825,744,,,
real_only,1337,test,ap.head,0.5410555687098804,879,744,,,
real_only,1337,test,ap.person,0.001933135147946654,113,744,,,
real_only,1337,test,ap_small.helmet,0.42030706598595363,1449,744,,,
real_only,1337,test,ap_small.head,0.4818771154691799,608,744,,,
real_only,1337,test,ap_small.person,0.00049684233404742,22,744,,,
real_only,1337,test,primary_map,0.534131743402185,3704,744,,,
real_only,1337,test,primary_map_small,0.45109209072756673,2057,744,,,
real_only,1337,test,instances.all,3817.0,3817,744,,,
real_only,1337,test,instances.small,2079.0,2079,744,,,
real_only,1337,test,instances.medium,1583.0,1583,744,,,
real_only,1337,test,instances.large,158.0,158,744,,,
real_only,1337,test,bare_head_recall,0.987485779294653,879,744,,,iou=0.5
real_only,1337,test,n_detections,223200.0,,744,,,
real_only,1337,test,real_image_exposures,49.83,,744,,,TRAIN-07 equal-step budget: times each real training image was seen. Not a Test-set quantity
real_only,1337,test,total_steps,10900.0,,744,,,"optimizer steps, from run_record.json"
real_only,1337,test/crowded,map,0.34829958758629503,1872,152,,,
real_only,1337,test/crowded,map_50,0.5765237576508347,1872,152,,,
real_only,1337,test/crowded,map_75,0.37661344400979463,1872,152,,,
real_only,1337,test/crowded,map_small,0.30544696875916066,1316,152,,,
real_only,1337,test/crowded,map_medium,0.4472371029801409,544,152,,,
real_only,1337,test/crowded,map_large,0.43524631925642715,15,152,,,
real_only,1337,test/crowded,mar_1,0.05875095999208401,1872,152,,,
real_only,1337,test/crowded,mar_10,0.3938700633874934,1872,152,,,
real_only,1337,test/crowded,mar_100,0.5410746498904994,1872,152,,,
real_only,1337,test/crowded,mar_small,0.4675964247133384,1316,152,,,
real_only,1337,test/crowded,mar_medium,0.6406597082831528,544,152,,,
real_only,1337,test/crowded,mar_large,0.7799999999999999,15,152,,,
real_only,1337,test/crowded,ap.helmet,0.5072355468853971,1175,152,,,
real_only,1337,test/crowded,ap.head,0.5362291956192441,661,152,,,
real_only,1337,test/crowded,ap.person,0.0014340202542438582,36,152,,,
real_only,1337,test/crowded,ap_small.helmet,0.4282938533001377,793,152,,,
real_only,1337,test/crowded,ap_small.head,0.486969500031737,501,152,,,
real_only,1337,test/crowded,ap_small.person,0.001077552945607414,22,152,,,
real_only,1337,test/crowded,primary_map,0.5217323712523205,1836,152,,,
real_only,1337,test/crowded,primary_map_small,0.45763167666593735,1294,152,,,
real_only,1337,test/crowded,instances.all,1872.0,1872,152,,,
real_only,1337,test/crowded,instances.small,1316.0,1316,152,,,
real_only,1337,test/crowded,instances.medium,544.0,544,152,,,
real_only,1337,test/crowded,instances.large,15.0,15,152,,,
real_only,1337,test/crowded,bare_head_recall,0.983358547655068,661,152,,,iou=0.5
real_only,1337,test/crowded,n_detections,45600.0,,152,,,
real_only,1337,test/low_light,map,0.36728586345602315,856,186,,,
real_only,1337,test/low_light,map_50,0.5878752008885585,856,186,,,
real_only,1337,test/low_light,map_75,0.42524687594468,856,186,,,
real_only,1337,test/low_light,map_small,0.4709084501287208,445,186,,,
real_only,1337,test/low_light,map_medium,0.4296184849812072,377,186,,,
real_only,1337,test/low_light,map_large,0.5045719290348784,34,186,,,
real_only,1337,test/low_light,mar_1,0.12370908364119328,856,186,,,
real_only,1337,test/low_light,mar_10,0.5358178574421973,856,186,,,
real_only,1337,test/low_light,mar_100,0.6663355272671339,856,186,,,
real_only,1337,test/low_light,mar_small,0.6088690371927366,445,186,,,
real_only,1337,test/low_light,mar_medium,0.6532467532467533,377,186,,,
real_only,1337,test/low_light,mar_large,0.8200952380952379,34,186,,,
real_only,1337,test/low_light,ap.helmet,0.522440755836595,679,186,,,
real_only,1337,test/low_light,ap.head,0.5771827847142159,164,186,,,
real_only,1337,test/low_light,ap.person,0.002234049817258328,13,186,,,
