arm,seed,split,metric,value,n_instances,n_images,ci_low,ci_high,notes
real_only,1337,test,map,0.38233004926213404,3817,744,,,
real_only,1337,test,map_50,0.6321480123169166,3817,744,,,
real_only,1337,test,map_75,0.41942847755331647,3817,744,,,
real_only,1337,test,map_small,0.32508311620094665,2079,744,,,
real_only,1337,test,map_medium,0.45221544699645877,1583,744,,,
real_only,1337,test,map_large,0.5368366195194314,158,744,,,
real_only,1337,test,mar_1,0.13192798198542857,3817,744,,,
real_only,1337,test,mar_10,0.5023543917229623,3817,744,,,
real_only,1337,test,mar_100,0.6007856071360256,3817,744,,,
real_only,1337,test,mar_small,0.4408746669044151,2079,744,,,
real_only,1337,test,mar_medium,0.6597200092544665,1583,744,,,
real_only,1337,test,mar_large,0.798388247040365,158,744,,,
real_only,1337,test,ap.helmet,0.5742548754731084,2825,744,,,
real_only,1337,test,ap.head,0.5571638633913771,879,744,,,
real_only,1337,test,ap.person,0.01557140892191687,113,744,0.006581500722372901,0.03670891075717557,bootstrap ci=0.95 resamples=1000 seed=42
real_only,1337,test,ap_small.helmet,0.47126842395375407,1449,744,,,
real_only,1337,test,ap_small.head,0.4968439338532987,608,744,,,
real_only,1337,test,ap_small.person,0.0071369907957870415,22,744,,,
real_only,1337,test,primary_map,0.5657093694322428,3704,744,,,
real_only,1337,test,primary_map_small,0.48405617890352637,2057,744,0.4652549920922515,0.5048232286846599,bootstrap ci=0.95 resamples=1000 seed=42
real_only,1337,test,instances.all,3817.0,3817,744,,,
real_only,1337,test,instances.small,2079.0,2079,744,,,
real_only,1337,test,instances.medium,1583.0,1583,744,,,
real_only,1337,test,instances.large,158.0,158,744,,,
real_only,1337,test,bare_head_recall,0.9761092150170648,879,744,0.9643267618275295,0.9863021499672355,iou=0.5; bootstrap ci=0.95 resamples=1000 seed=42
real_only,1337,test,n_detections,223200.0,,744,,,
real_only,1337,test,real_image_exposures,49.83,,744,,,TRAIN-07 equal-step budget: times each real training image was seen. Not a Test-set quantity
real_only,1337,test,total_steps,10900.0,,744,,,"optimizer steps, from run_record.json"
real_only,1337,test/crowded,map,0.36651412649922666,1872,152,,,
real_only,1337,test/crowded,map_50,0.6247844654489239,1872,152,,,
real_only,1337,test/crowded,map_75,0.3886342389837948,1872,152,,,
real_only,1337,test/crowded,map_small,0.32579825352239955,1316,152,,,
real_only,1337,test/crowded,map_medium,0.4559213432719943,544,152,,,
real_only,1337,test/crowded,map_large,0.5804074999366189,15,152,,,
real_only,1337,test/crowded,mar_1,0.0630360046208374,1872,152,,,
real_only,1337,test/crowded,mar_10,0.406210025166635,1872,152,,,
real_only,1337,test/crowded,mar_100,0.5244941530193405,1872,152,,,
real_only,1337,test/crowded,mar_small,0.43541860449684144,1316,152,,,
real_only,1337,test/crowded,mar_medium,0.6590449692968762,544,152,,,
real_only,1337,test/crowded,mar_large,0.775,15,152,,,
real_only,1337,test/crowded,ap.helmet,0.5344302587066494,1175,152,,,
real_only,1337,test/crowded,ap.head,0.5499517986970447,661,152,,,
real_only,1337,test/crowded,ap.person,0.015160322093985813,36,152,,,
real_only,1337,test/crowded,ap_small.helmet,0.4590251149919772,793,152,,,
real_only,1337,test/crowded,ap_small.head,0.49931305761674605,501,152,,,
real_only,1337,test/crowded,ap_small.person,0.01905658795847533,22,152,,,
real_only,1337,test/crowded,primary_map,0.542191028701847,1836,152,,,
real_only,1337,test/crowded,primary_map_small,0.4791690863043616,1294,152,,,
real_only,1337,test/crowded,instances.all,1872.0,1872,152,,,
real_only,1337,test/crowded,instances.small,1316.0,1316,152,,,
real_only,1337,test/crowded,instances.medium,544.0,544,152,,,
real_only,1337,test/crowded,instances.large,15.0,15,152,,,
real_only,1337,test/crowded,bare_head_recall,0.9773071104387292,661,152,,,iou=0.5
real_only,1337,test/crowded,n_detections,45600.0,,152,,,
real_only,1337,test/low_light,map,0.3883398942206187,856,186,,,
real_only,1337,test/low_light,map_50,0.6304380206572046,856,186,,,
real_only,1337,test/low_light,map_75,0.4291330194148579,856,186,,,
real_only,1337,test/low_light,map_small,0.4975780898015268,445,186,,,
real_only,1337,test/low_light,map_medium,0.44410332051887175,377,186,,,
real_only,1337,test/low_light,map_large,0.5249354665264448,34,186,,,
real_only,1337,test/low_light,mar_1,0.15778593211331457,856,186,,,
real_only,1337,test/low_light,mar_10,0.5322399354898726,856,186,,,
real_only,1337,test/low_light,mar_100,0.6457081285155211,856,186,,,
real_only,1337,test/low_light,mar_small,0.5800607228352893,445,186,,,
real_only,1337,test/low_light,mar_medium,0.6545093795093796,377,186,,,
real_only,1337,test/low_light,mar_large,0.7903809523809522,34,186,,,
real_only,1337,test/low_light,ap.helmet,0.5726234581776273,679,186,,,
real_only,1337,test/low_light,ap.head,0.5829059615666691,164,186,,,
real_only,1337,test/low_light,ap.person,0.00949026291755972,13,186,,,
real_only,1337,test/low_light,ap_small.helmet,0.4707436708175553,346,186,,,
real_only,1337,test/low_light,ap_small.head,0.5244125087854983,99,186,,,
real_only,1337,test/low_light,ap_small.person,-1.0,0,186,,,
real_only,1337,test/low_light,primary_map,0.5777647098721481,843,186,,,
real_only,1337,test/low_light,primary_map_small,0.4975780898015268,445,186,,,
real_only,1337,test/low_light,instances.all,856.0,856,186,,,
real_only,1337,test/low_light,instances.small,445.0,445,186,,,
real_only,1337,test/low_light,instances.medium,377.0,377,186,,,
real_only,1337,test/low_light,instances.large,34.0,34,186,,,
real_only,1337,test/low_light,bare_head_recall,0.9817073170731707,164,186,,,iou=0.5
real_only,1337,test/low_light,n_detections,55800.0,,186,,,
real_only,1337,test/small_object,map,0.3707604435051522,2992,441,,,
real_only,1337,test/small_object,map_50,0.629179034350777,2992,441,,,
real_only,1337,test/small_object,map_75,0.3960376747819529,2992,441,,,
real_only,1337,test/small_object,map_small,0.3266522597834685,2079,441,,,
real_only,1337,test/small_object,map_medium,0.4603692597777481,891,441,,,
real_only,1337,test/small_object,map_large,0.539615935766788,25,441,,,
real_only,1337,test/small_object,mar_1,0.1038866540317995,2992,441,,,
real_only,1337,test/small_object,mar_10,0.46218480814329305,2992,441,,,
real_only,1337,test/small_object,mar_100,0.563050786712963,2992,441,,,
real_only,1337,test/small_object,mar_small,0.4408746669044151,2079,441,,,
real_only,1337,test/small_object,mar_medium,0.6588864467172043,891,441,,,
real_only,1337,test/small_object,mar_large,0.7883333333333334,25,441,,,
real_only,1337,test/small_object,ap.helmet,0.5390603928250544,2069,441,,,
real_only,1337,test/small_object,ap.head,0.5604575902132798,844,441,,,
real_only,1337,test/small_object,ap.person,0.012763347477122404,79,441,,,
real_only,1337,test/small_object,ap_small.helmet,0.4737178164649086,1449,441,,,
real_only,1337,test/small_object,ap_small.head,0.49899353966214427,608,441,,,
real_only,1337,test/small_object,ap_small.person,0.007245423223352761,22,441,,,
real_only,1337,test/small_object,primary_map,0.5497589915191671,2913,441,,,
real_only,1337,test/small_object,primary_map_small,0.4863556780635264,2057,441,,,
real_only,1337,test/small_object,instances.all,2992.0,2992,441,,,
real_only,1337,test/small_object,instances.small,2079.0,2079,441,,,
real_only,1337,test/small_object,instances.medium,891.0,891,441,,,
real_only,1337,test/small_object,instances.large,25.0,25,441,,,
real_only,1337,test/small_object,bare_head_recall,0.9751184834123223,844,441,,,iou=0.5
real_only,1337,test/small_object,n_detections,132300.0,,441,,,
standard_aug,1337,test,map,0.39019844730450065,3817,744,,,
standard_aug,1337,test,map_50,0.6276373598268982,3817,744,,,
standard_aug,1337,test,map_75,0.43375349510848404,3817,744,,,
standard_aug,1337,test,map_small,0.338031398145801,2079,744,,,
standard_aug,1337,test,map_medium,0.45782513757753235,1583,744,,,
standard_aug,1337,test,map_large,0.5458329075530409,158,744,,,
standard_aug,1337,test,mar_1,0.13107596793084123,3817,744,,,
standard_aug,1337,test,mar_10,0.5181182021672524,3817,744,,,
standard_aug,1337,test,mar_100,0.6180959591383343,3817,744,,,
standard_aug,1337,test,mar_small,0.46404139603510314,2079,744,,,
standard_aug,1337,test,mar_medium,0.6745820000627422,1583,744,,,
standard_aug,1337,test,mar_large,0.8075595492797033,158,744,,,
standard_aug,1337,test,ap.helmet,0.5918251640605895,2825,744,,,
standard_aug,1337,test,ap.head,0.565900642771108,879,744,,,
standard_aug,1337,test,ap.person,0.012869535081804696,113,744,0.00670726531408714,0.023747365933777468,bootstrap ci=0.95 resamples=1000 seed=42
standard_aug,1337,test,ap_small.helmet,0.48057667234914425,1449,744,,,
standard_aug,1337,test,ap_small.head,0.5135112615975378,608,744,,,
standard_aug,1337,test,ap_small.person,0.020006260490720726,22,744,,,
standard_aug,1337,test,primary_map,0.5788629034158488,3704,744,,,
standard_aug,1337,test,primary_map_small,0.497043966973341,2057,744,0.47268065154963324,0.5218682442661144,bootstrap ci=0.95 resamples=1000 seed=42
standard_aug,1337,test,instances.all,3817.0,3817,744,,,
standard_aug,1337,test,instances.small,2079.0,2079,744,,,
standard_aug,1337,test,instances.medium,1583.0,1583,744,,,
standard_aug,1337,test,instances.large,158.0,158,744,,,
standard_aug,1337,test,bare_head_recall,0.9681456200227532,879,744,0.9538598936306549,0.9808853122532045,iou=0.5; bootstrap ci=0.95 resamples=1000 seed=42
standard_aug,1337,test,n_detections,223200.0,,744,,,
standard_aug,1337,test,real_image_exposures,49.83,,744,,,TRAIN-07 equal-step budget: times each real training image was seen. Not a Test-set quantity
standard_aug,1337,test,total_steps,10900.0,,744,,,"optimizer steps, from run_record.json"
standard_aug,1337,test/crowded,map,0.36896355822124555,1872,152,,,
standard_aug,1337,test/crowded,map_50,0.6186365609653307,1872,152,,,
standard_aug,1337,test/crowded,map_75,0.3941685938456074,1872,152,,,
standard_aug,1337,test/crowded,map_small,0.34303141898048767,1316,152,,,
standard_aug,1337,test/crowded,map_medium,0.45798075389754644,544,152,,,
standard_aug,1337,test/crowded,map_large,0.5122235508195635,15,152,,,
standard_aug,1337,test/crowded,mar_1,0.0654608248123232,1872,152,,,
standard_aug,1337,test/crowded,mar_10,0.40426823388876376,1872,152,,,
standard_aug,1337,test/crowded,mar_100,0.53351294633224,1872,152,,,
standard_aug,1337,test/crowded,mar_small,0.45621998389250773,1316,152,,,
standard_aug,1337,test/crowded,mar_medium,0.6528140193585797,544,152,,,
standard_aug,1337,test/crowded,mar_large,0.755,15,152,,,
standard_aug,1337,test/crowded,ap.helmet,0.5412917073247985,1175,152,,,
standard_aug,1337,test/crowded,ap.head,0.5589408751815536,661,152,,,
standard_aug,1337,test/crowded,ap.person,0.006658092157384509,36,152,,,
standard_aug,1337,test/crowded,ap_small.helmet,0.46312364984848003,793,152,,,
standard_aug,1337,test/crowded,ap_small.head,0.5115962828729862,501,152,,,
standard_aug,1337,test/crowded,ap_small.person,0.054374324219996766,22,152,,,
standard_aug,1337,test/crowded,primary_map,0.5501162912531761,1836,152,,,
standard_aug,1337,test/crowded,primary_map_small,0.4873599663607331,1294,152,,,
standard_aug,1337,test/crowded,instances.all,1872.0,1872,152,,,
standard_aug,1337,test/crowded,instances.small,1316.0,1316,152,,,
standard_aug,1337,test/crowded,instances.medium,544.0,544,152,,,
standard_aug,1337,test/crowded,instances.large,15.0,15,152,,,
standard_aug,1337,test/crowded,bare_head_recall,0.9652042360060514,661,152,,,iou=0.5
standard_aug,1337,test/crowded,n_detections,45600.0,,152,,,
standard_aug,1337,test/low_light,map,0.3984645383751653,856,186,,,
standard_aug,1337,test/low_light,map_50,0.6292569791071972,856,186,,,
standard_aug,1337,test/low_light,map_75,0.45367932943100464,856,186,,,
standard_aug,1337,test/low_light,map_small,0.49166426883566805,445,186,,,
standard_aug,1337,test/low_light,map_medium,0.46417503821992484,377,186,,,
standard_aug,1337,test/low_light,map_large,0.5523010229374533,34,186,,,
standard_aug,1337,test/low_light,mar_1,0.15544817683364326,856,186,,,
standard_aug,1337,test/low_light,mar_10,0.5819774831655645,856,186,,,
standard_aug,1337,test/low_light,mar_100,0.6908472572603827,856,186,,,
standard_aug,1337,test/low_light,mar_small,0.5714675658317278,445,186,,,
standard_aug,1337,test/low_light,mar_medium,0.731974506974507,377,186,,,
standard_aug,1337,test/low_light,mar_large,0.8195238095238097,34,186,,,
standard_aug,1337,test/low_light,ap.helmet,0.5828064095693917,679,186,,,
standard_aug,1337,test/low_light,ap.head,0.5976300310435739,164,186,,,
standard_aug,1337,test/low_light,ap.person,0.014957174512530572,13,186,,,
standard_aug,1337,test/low_light,ap_small.helmet,0.46024787675891593,346,186,,,
standard_aug,1337,test/low_light,ap_small.head,0.5230806609124203,99,186,,,
standard_aug,1337,test/low_light,ap_small.person,-1.0,0,186,,,
standard_aug,1337,test/low_light,primary_map,0.5902182203064827,843,186,,,
standard_aug,1337,test/low_light,primary_map_small,0.49166426883566816,445,186,,,
standard_aug,1337,test/low_light,instances.all,856.0,856,186,,,
standard_aug,1337,test/low_light,instances.small,445.0,445,186,,,
standard_aug,1337,test/low_light,instances.medium,377.0,377,186,,,
standard_aug,1337,test/low_light,instances.large,34.0,34,186,,,
standard_aug,1337,test/low_light,bare_head_recall,0.9695121951219512,164,186,,,iou=0.5
standard_aug,1337,test/low_light,n_detections,55800.0,,186,,,
standard_aug,1337,test/small_object,map,0.37728645545076694,2992,441,,,
standard_aug,1337,test/small_object,map_50,0.6242860878193524,2992,441,,,
standard_aug,1337,test/small_object,map_75,0.40991517193574956,2992,441,,,
standard_aug,1337,test/small_object,map_small,0.34011595856701676,2079,441,,,
standard_aug,1337,test/small_object,map_medium,0.4661288489448143,891,441,,,
standard_aug,1337,test/small_object,map_large,0.5600991242705785,25,441,,,
standard_aug,1337,test/small_object,mar_1,0.10040889708017002,2992,441,,,
standard_aug,1337,test/small_object,mar_10,0.4695411595977337,2992,441,,,
standard_aug,1337,test/small_object,mar_100,0.5766624886145713,2992,441,,,
standard_aug,1337,test/small_object,mar_small,0.46404139603510314,2079,441,,,
standard_aug,1337,test/small_object,mar_medium,0.670391924552296,891,441,,,
standard_aug,1337,test/small_object,mar_large,0.8027777777777777,25,441,,,
standard_aug,1337,test/small_object,ap.helmet,0.5510281896626327,2069,441,,,
standard_aug,1337,test/small_object,ap.head,0.5727101788132393,844,441,,,
standard_aug,1337,test/small_object,ap.person,0.008120997876428905,79,441,,,
standard_aug,1337,test/small_object,ap_small.helmet,0.48405341821340114,1449,441,,,
standard_aug,1337,test/small_object,ap_small.head,0.5160873955397877,608,441,,,
standard_aug,1337,test/small_object,ap_small.person,0.020207061947861572,22,441,,,
standard_aug,1337,test/small_object,primary_map,0.561869184237936,2913,441,,,
standard_aug,1337,test/small_object,primary_map_small,0.5000704068765944,2057,441,,,
standard_aug,1337,test/small_object,instances.all,2992.0,2992,441,,,
standard_aug,1337,test/small_object,instances.small,2079.0,2079,441,,,
standard_aug,1337,test/small_object,instances.medium,891.0,891,441,,,
standard_aug,1337,test/small_object,instances.large,25.0,25,441,,,
standard_aug,1337,test/small_object,bare_head_recall,0.966824644549763,844,441,,,iou=0.5
standard_aug,1337,test/small_object,n_detections,132300.0,,441,,,
unfiltered_syn,1337,test,map,0.38687647534778813,3817,744,,,
unfiltered_syn,1337,test,map_50,0.6228934807039109,3817,744,,,
